Location,Distance_1,Distance_2,Distance_3,Distance_4,Distance_5,Distance_6,Distance_7,Distance_8,Distance_9,Distance_10,Distance_11,Distance_12,Distance_13,Distance_14,Distance_15,Distance_16,Distance_17,Distance_18,Distance_19,Distance_20,Distance_21,Distance_22,Distance_23,Distance_24,Distance_25,Distance_26,Distance_27
western governors university 4001 south 700 east salt lake city ut 84107,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
international peace gardens 1060 dalton ave s,0,7.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar house park 1330 2100 s,0,3.8,7.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylorsville-bennion heritage city gov off 1488 4800 s,0,11.0,6.4,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salt lake city division of health services 177 w price ave,0,2.2,6.0,4.4,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south salt lake public works 195 w oakland ave,0,3.5,4.8,2.8,6.9,1.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salt lake city streets and sanitation 2010 w 500 s,0,10.9,1.6,8.6,8.6,7.9,6.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deker lake 2300 parkway blvd,0,8.6,2.8,6.3,4.0,5.1,4.3,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salt lake city ottinger hall 233 canyon rd,0,7.6,4.8,5.3,11.1,7.5,4.5,4.2,7.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
columbus library 2530 s 500 e,0,2.8,6.3,1.6,7.3,2.6,1.5,8.0,9.3,4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylorsville city hall 2600 taylorsville blvd,0,6.4,7.3,10.4,1.0,6.5,8.7,8.6,4.6,11.9,9.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south salt lake police 2835 main st,0,3.2,5.3,3.0,6.4,1.5,0.8,6.9,4.8,4.7,1.1,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
council hall 300 state st,0,7.6,4.8,5.3,11.1,7.5,4.5,4.2,7.7,0.6,5.1,12.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redwood park 3060 lester st,0,5.2,3.0,6.5,3.9,3.2,3.9,4.2,1.6,7.6,4.6,4.9,3.5,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
salt lake county mental health 3148 s 1100 w,0,4.4,4.6,5.6,4.3,2.4,3.0,8.0,3.3,7.8,3.7,5.2,2.6,7.8,1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
salt lake county/united police dept 3365 s 900 w,0,3.66112816434,4.5,5.8,4.4,2.7,3.8,5.8,3.4,6.6,4.0,5.4,2.9,6.6,1.5,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0
west valley prosecutor 3575 w valley central sta bus loop,0,7.6,7.4,5.7,7.2,1.4,5.7,7.2,3.1,7.2,6.7,8.1,6.3,7.2,4.0,6.4,5.6,0.0,0,0,0,0,0,0,0,0,0,0
housing auth. of salt lake county 3595 main st,0,2.0,6.0,4.1,5.3,0.5,1.9,7.7,5.1,5.9,2.3,6.2,1.2,5.9,3.2,2.4,1.6,7.1,0.0,0,0,0,0,0,0,0,0,0
utah dmv administrative office 380 w 2880 s,0,3.6,5.0,3.6,6.0,1.7,1.1,6.6,4.6,5.4,1.8,6.9,1.0,5.4,3.0,2.2,1.7,6.1,1.6,0.0,0,0,0,0,0,0,0,0
third district juvenile court 410 s state st,0,6.5,4.8,4.3,10.6,6.5,3.5,3.2,6.7,1.0,4.1,11.5,3.7,1.0,6.9,6.8,6.4,7.2,4.9,4.4,0.0,0,0,0,0,0,0,0
cottonwood regional softball complex 4300 s 1300 e,0,1.9,9.5,3.3,5.9,3.2,4.9,11.2,8.1,8.5,3.8,6.9,4.1,8.5,6.2,5.3,4.9,10.6,3.0,4.6,7.5,0.0,0,0,0,0,0,0
holiday city office 4580 s 2300 e,0,3.4,10.9,5.0,7.4,5.2,6.9,12.7,10.4,10.3,5.8,8.3,6.2,10.3,8.2,7.4,6.9,12.0,5.0,6.6,9.3,2.0,0.0,0,0,0,0,0
murray city museum 5025 state st,0,2.4,8.3,6.1,4.7,2.5,4.2,10.0,7.8,7.8,4.3,4.1,3.4,7.8,5.5,4.6,4.2,9.4,2.3,3.9,6.8,2.9,4.4,0.0,0,0,0,0
valley regional softball complex 5100 south 2700 west,0,6.4,6.9,9.7,0.6,6.0,9.0,8.2,4.2,11.5,7.8,0.4,6.9,11.5,4.4,4.8,5.6,7.5,5.5,6.5,11.4,6.4,7.9,4.5,0.0,0,0,0
city center of rock springs 5383 south 900 east #104,0,2.4,10.0,6.1,6.4,4.2,5.9,11.7,9.5,9.5,4.8,4.9,5.2,9.5,7.2,6.3,5.9,11.1,4.0,5.6,8.5,2.8,3.4,1.7,5.4,0.0,0,0
rice terrace pavilion park 600 e 900 south,0,5.0,4.4,2.8,10.1,5.4,3.5,5.1,6.2,2.8,3.2,11.0,3.7,2.8,6.4,6.5,5.7,6.2,5.1,4.3,1.8,6.0,7.9,6.8,10.6,7.0,0.0,0
wheeler historic farm 6351 south 900 east,0,3.6,13.0,7.4,10.1,5.5,7.2,14.2,10.7,14.1,6.0,6.8,6.4,14.1,10.5,8.8,8.4,13.6,5.2,6.9,13.1,4.1,4.7,3.1,7.8,1.3,8.3,0.0
